family,genus,species,subspecies_variety,species_code,common_name,photosynthetic_pathway,life_cycle,life_form,native
Acanthaceae,Carlowrightia,linearifolia,,CALI2,heath wrightwort,C3,p,ss/H,y
Aceraceae,Acer,glabrum,,ACGL,Rocky Mountain maple,,p,S/T,y
Aceraceae,Acer,negundo,var. interius,ACNEI2,boxelder,,p,T ,y
Aceraceae,Acer,negundo,,ACNE2,boxelder,,p,T,y
Agavaceae,Yucca,baccata,,YUBA,banana yucca,CAM,p,S/ss/H,y
Agavaceae,Yucca,baileyi,var. intermedia,YUBAI,intermediate yucca,,p,S/ss/H,y
Agavaceae,Yucca,elata,,YUEL,soaptree yucca,,p,S/ss/H,y
Agavaceae,Yucca,glauca,,YUGL,soapweed yucca,,p,S/ss/H,y
Aizoaceae,Trianthema,portulacastrum,,TRPO2,desert horsepurslane,,ap,H/su,y
Alismaceae,Sagittaria,cuneata,,SACU,arumleaf arrowhead,,p,H,y
Amaranthaceae,Amaranthus,albus,,AMAL,prostrate pigweed,C4,a,H,y
Amaranthaceae,Amaranthus,blitoides,,AMBL,mat amaranth,C4,a,H,n
Amaranthaceae,Amaranthus,hybridus,,AMHY,slim amaranth,C4,a,H,y
Amaranthaceae,Amaranthus,palmeri,,AMPA,carlessweed,C4,a,H,y
Amaranthaceae,Amaranthus,powellii,,AMPO2,Powell's amaranth,C4,a,H,y
Amaranthaceae,Tidestromia,lanuginosa,,TILA2,wooly tidestromia,C4,a,H,y
Anacardiaceae,Rhus,microphylla,,RHMI3,littleleaf sumac,C3,p,S/T,y
Anacardiaceae,Rhus,trilobata,var. pilosissima,RHTRP,pubescent squawbush,C3,p,S,y
Anacardiaceae,Rhus,trilobata,,RHTR,skunkbush sumac,C3,p,S,y
Apiaceae,Aletes,filifolius,,ALFI3,Trans-Pecos Indian parsley,,p,ss/H,y
Apiaceae,Berula,erecta,,BEER,cutleaf waterparsnip,,p,H,y
Apiaceae,Cymopterus,acaulis,var. fendleri,CYACF,Fendler's springparsley,,p,H,y
Apiaceae,Cymopterus,montanus,,CYMO,mountain springparsley,,p,H,y
Apiaceae,Hydrocotyle,verticillata,,HYVE2,whorled marshpennywort,,p,H,y
Apocynaceae,Amsonia,fugatei,,AMFU,San Antonio bluestar,,p,H,y
Apocynaceae,Amsonia,palmeri,,AMPA5,Palmer's bluestar,,p,H,y
Apocynaceae,Apocynum,androsaemifolium,,APAN2,spreading dogbane,C3,p,H,y
Asclepiadaceae,Asclepias,asperula,subsp. asperula,ASASA,spider milkweed,C3,p,H,y
Asclepiadaceae,Asclepias,brachystephana,,ASBR,bract milkweed,C3,p,H,y
Asclepiadaceae,Asclepias,engelmanniana,,ASEN,Engelmann's milkweed,C3,p,H,y
Asclepiadaceae,Asclepias,latifolia,,ASLA4,broadleaf milkweed,C3,p,H,y
Asclepiadaceae,Asclepias,macrotis,,ASMA,longhood milkweed,C3,p,ss,y
Asclepiadaceae,Asclepias,speciosa,,ASSP,showy milkweed,C3,p,H,y
Asclepiadaceae,Asclepias,subverticillata,,ASSU2,horsetail milkweed,C3,p,H,y
Asclepiadaceae,Funastrum,cynanchoides,subsp. heterophyllum,FUCYH,Hartweg's twinevine,,p,H,y
Asclepiadaceae,Funastrum,crispum,,FUCR,,,p,V/H,y
Aspleniaceae,Asplenium,resiliens,,ASRE,blackstem spleenwart,,p,H,y
Asteraceae,Acourtia,nana,,ACNA2,dwarf desertpeony,C3,p,H,y
Asteraceae,Acroptilon,repens,,ACRE3,hardheads,,p,H,n
Asteraceae,Almutaster,pauciflorus,,ALPA14,alkali marsh aster,C3,p,H,y
Asteraceae,Ambrosia,acanthicarpa,,AMAC2,flatspine bur ragweed,,a,H,y
Asteraceae,Ambrosia,artemisiifolia,,AMAR2,annual ragweed,,a,H,y
Asteraceae,Ambrosia,confertiflora,,AMCO3,weakleaf bur ragweed,,p,H,y
Asteraceae,Aphanostephus,ramosissimus,var. humilis,APRAH,plains dosedaisy,C3,ap,H,y
Asteraceae,Aphanostephus,ramosissimus,,APRA,plains dosedaisy,C3,ap,H,y
Asteraceae,Artemisia,bigelovii,,ARBI3,Bigelow sagebrush,,p,S/ss,y
Asteraceae,Artemisia,campestris,,ARCA12,field sagewort,C3,bp,H,y
Asteraceae,Artemisia,carruthii,,ARCA14,Carruth's sagewort,,p,H,y
Asteraceae,Artemisia,dracunculus,,ARDR4,wormwood,,p,ss/H,y
Asteraceae,Artemisia,filifolia,,ARFI2,sand sagebrush,,p,S/ss,y
Asteraceae,Artemisia,frigida,,ARFR4,prairie sagewort,,p,ss,y
Asteraceae,Artemisia,ludoviciana,subsp. albula,ARLUA,white sagebrush,C3,p,ss/H,y
Asteraceae,Artemisia,ludoviciana,subsp. ludoviciana,ARLUL2,white sagebrush,C3,p,ss/H,y
Asteraceae,Artemisia,ludoviciana,,ARLU,white sagebrush,C3,p,ss/H,y
Asteraceae,Baccharis,emoryi,,BAEM,Emory's baccharis,,p,S,y
Asteraceae,Baccharis,pteronioides,,BAPT,,,p,S,y
Asteraceae,Baccharis,salicifolia,,BASA4,mule fat,,p,S,y
Asteraceae,Bahia,absinthifolia,var. absinthifolia,BAABA,hairyseed bahia,C3,p,H,y
Asteraceae,Bahia,absinthifolia,var. dealbata,BAABD,Dealbata's bahia,C3,p,H,y
Asteraceae,Bahia,absinthifolia,,BAAB,hairyseed bahia,C3,p,H,y
Asteraceae,Bahia,dissecta,,BADI,ragleaf bahia,,abp,H,y
Asteraceae,Bahia,pedata,,BAPE,bluntscale bahia,,a,H,y
Asteraceae,Baileya,multiradiata,,BAMU,desert marigold,C3,abp,H,y
Asteraceae,Baileya,pleniradiata,,BAPL3,woolly desert marigold,C3,abp,H,y
Asteraceae,Berlandiera,lyrata,,BELY,lyreleaf greeneyes,C3,p,H,y
Asteraceae,Bidens,cernua,,BICE,nodding beggartick,,a,H,y
Asteraceae,Bidens,frondosa,,BIFR,devil's beggartick,C3,a,H,y
Asteraceae,Brickellia,brachyphylla,,BRBR2,plumed brickellbush,,p,ss/H,y
Asteraceae,Brickellia,californica,,BRCA3,California brickellbush,C3,p,S/ss,y
Asteraceae,Brickellia,eupatorioides,var. chlorolepis,BREUC2,ragged marsh-elder,,p,H/ss,y
Asteraceae,Brickellia,eupatorioides,var. eupatorioides,BREUE,false boneset,,p,H/ss,y
Asteraceae,Brickellia,eupatorioides,,BREU,false boneset,,p,H/ss,y
Asteraceae,Calycoseris,wrightii,,CAWR,white tackstem,,a,H,y
Asteraceae,Chaetopappa,ericoides,,CHER2,rose heath,C3,p,ss/H,y
Asteraceae,Chloracantha,spinosa,,CHSP11,spiny choracantha,C3,p,H,y
Asteraceae,Chrysothamnus,baileyi,,CHBA11,Bailey's rabbitbrush,,p,S/ss,y
Asteraceae,Cirsium,canescens,,CICA11,prairie thistle,,b,H,y
Asteraceae,Cirsium,neomexicanum,,CINE,New Mexico thistle,C3,bp,H,y
Asteraceae,Cirsium,ochrocentrum,,CIOC2,yellowspine thistle,C3,bp,H,y
Asteraceae,Cirsium,undulatum,,CIUN,wavyleaf thistle,C3,bp,H,y
Asteraceae,Conyza,canadensis,,COCA5,Canadian horseweed,,ab,H,n
Asteraceae,Dyssodia,papposa,,DYPA,fetid marigold,,a,H,y
Asteraceae,Eclipta,prostrata,,ECPR,false daisy,,ap,H,y
Asteraceae,Ericameria,nauseosa,subsp. nauseosa ,ERNAN3,rubber rabbitbrush,,p,S/ss,y
Asteraceae,Erigeron,bellidiastrum,var. bellidiastrum,ERBEB,western daisy fleabane,C3,a,H,y
Asteraceae,Erigeron,colomexicanus,,ERCO28,running fleabane,,b,H,y
Asteraceae,Erigeron,divergens,,ERDI4,spreading fleabane,C3,bp,H,y
Asteraceae,Erigeron,flagellaris,,ERFL,trailing fleabane,C3,b,H,y
Asteraceae,Flaveria,campestris,,FLCA,alkali yellowtops ,,a,H,y
Asteraceae,Gaillardia,pinnatifida,,GAPI,red dome blanketflower,,p,ss/H,y
Asteraceae,Gaillardia,pulchella,var. pulchella,GAPUP2,Indian blanket,,abp,ss/H,y
Asteraceae,Gaillardia,pulchella,,GAPU,firewheel,,abp,ss/H,y
Asteraceae,Grindelia,nuda,var. aphanactis,GRNUA,curlytop gumweed,,abp,H,y
Asteraceae,Grindelia,nuda,var. nuda,GRNUN,curlytop gumweed,,abp,H,y
Asteraceae,Gutierrezia,sarothrae,,GUSA2,broom snakeweed,C3,p,S/ss/H,y
Asteraceae,Gutierrezia,sphaerocephala,,GUSP,roundleaf snakeweed,C3,ap,ss/H,y
Asteraceae,Gutierrezia,texana,var. glutinosa,GUTEG,sticky snakeweed,C3,ap,ss/H,y
Asteraceae,Helianthus,annuus,,HEAN3,common sunflower,C3,a,H,y
Asteraceae,Helianthus,ciliaris,,HECI,Texas blueweed,C3,p,H,y
Asteraceae,Helianthus,niveus,subsp. canescens,HENIC,showy sunflower,C3,ap,ss/H,y
Asteraceae,Helianthus,petiolaris,subsp. fallax,HEPEF,prairie sunflower,C3,a,H,y
Asteraceae,Helianthus,petiolaris,subsp. petiolaris,HEPEP,prairie sunflower,C3,a,H,y
Asteraceae,Helianthus,petiolaris,,HEPE,prairie sunflower,C3,a,H,y
Asteraceae,Heliomeris,multiflora,var. nevadensis,HEMUN,Nevada goldeneye,C3,p,H,y
Asteraceae,Heterosperma,pinnatum,,HEPI2,wingpetal,,a,H,y
Asteraceae,Heterotheca,fulcrata,var. fulcrata,HEFUF,rockyscree false goldenaster,,p,ss/H,y
Asteraceae,Heterotheca,villosa,var. minor,HEVIM3,hairy false goldenaster,C3,p,ss/H,y
Asteraceae,Heterotheca,villosa,var. villosa,HEVIV,hairy false goldenaster,C3,p,ss/H,y
Asteraceae,Heterotheca,villosa,,HEVI4,hairy false goldenaster,C3,p,ss/H,y
Asteraceae,Hymenoclea,monogyra,,HYMO,singlewhorl burrobush,,p,S/ss,y
Asteraceae,Hymenopappus,filifolius,var. cinereus,HYFIC,fineleaf hymenopappus,,p,ss/H,y
Asteraceae,Hymenopappus,filifolius,,HYFI,fineleaf hymenopappus,,p,ss/H,y
Asteraceae,Hymenopappus,flavescens,var. canotomentosus,HYFLC,collegeflower,,b,H,y
Asteraceae,Hymenopappus,flavescens,var. flavescens,HYFLF,collegeflower,,b,H,y
Asteraceae,Hymenopappus,flavescens,,HYFL,collegeflower,,b,H,y
Asteraceae,Hymenoxys,brachyactis,,HYBR7,East View rubberweed,,p,H,y
Asteraceae,Hymenoxys,odorata,,HYOD,bitter rubberweed,C3,a,H,y
Asteraceae,Hymenoxys,richardsonii,var. floribunda,HYRIF,Colorado rubberweed,,p,ss/H,y
Asteraceae,Isocoma,pluriflora,,ISPL,southern goldenbush,,p,ss/H,y
Asteraceae,Lactuca,serriola,,LASE,prickly lettuce,C3,ab,H,n
Asteraceae,Laennecia,coulteri,,LACO13,Coulter's horseweed,,ab,H,y
Asteraceae,Leuciva,dealbata,,LEDE23,woolly marsh elder,,p,H,y
Asteraceae,Machaeranthera,bigelovii,var. bigelovii,MABIB,Bigelow's tansyaster,,bp,H,y
Asteraceae,Machaeranthera,canescens,subsp. canescens var. canescens,MACAC3,hoary tansyaster,,abp,H,y
Asteraceae,Machaeranthera,gracilis,,MAGR10,slender goldenweed,C3,a,H,y
Asteraceae,Machaeranthera,pinnatifida,subsp. pinnatifida,MAPIP,lacy tansyaster,C3,p,ss/H,y
Asteraceae,Machaeranthera,tanacetifolia,,MATA2,tanseyleaf aster,C3,ab,H,y
Asteraceae,Malacothrix,fendleri,,MAFE,Fendler's desertdandelion,C3,a,H,y
Asteraceae,Melampodium,leucanthum,,MELE2,plains blackfoot,C3,p,ss/H,y
Asteraceae,Palafoxia,sphacelata,,PASP,othake,,a,H,y
Asteraceae,Parthenium,confertum,,PACO11,Gray's feverfew,,abp,ss/H,y
Asteraceae,Parthenium,incanum,,PAIN2,mariola,C3,p,S,y
Asteraceae,Pectis,angustifolia,,PEAN,lemonscent,C4,a,H,y
Asteraceae,Pericome,caudata,,PECA10,mountian tail-leaf,,p,H,y
Asteraceae,Psilactis,asteroides,,PSAS2,New Mexico tansyaster,,abp,H,y
Asteraceae,Psilostrophe,sparsiflora,,PSSP,greenstem paperflower,,p,ss/H,y
Asteraceae,Psilostrophe,tagetina,var. tagetina,PSTAT,woolly paperflower,,p,H,y
Asteraceae,Psilostrophe,tagetina,,PSTA,woolly paperflower,,p,H,y
Asteraceae,Ratibida,columnifera,,RACO3,upright prairie coneflower,,p,H,y
Asteraceae,Ratibida,tagetes,,RATA,green prairie coneflower,,p,H,y
Asteraceae,Sanvitalia,abertii,,SAAB,Albert's creeping zinnia,,a,H,y
Asteraceae,Sartwellia,flaveriae,,SAFL5,threadleaf glowwart,,p,H,y
Asteraceae,Schkuhria,multiflora,,SCMU6,manyflower false threadleaf,,a,H,y
Asteraceae,Senecio,flaccidus,var. douglasii,SEFLD,Douglas' ragwort,C3,p,ss/H,y
Asteraceae,Senecio,flaccidus,var. flaccidus,SEFLF,threadleaf ragwort,C3,p,ss/H,y
Asteraceae,Senecio,flaccidus,,SEFL3,threadleaf ragwort,C3,p,ss/H,y
Asteraceae,Senecio,spartoides,var. multicapitatus,SESPM,broom-like ragwort,C3,p,ss/H,y
Asteraceae,Solidago,canadensis,var. gilvocanescens,SOCAG,shorthair goldenrod,,p,H,y
Asteraceae,Solidago,velutina,,SOVE6,threenerve goldenrod,C3,p,ss/H,y
Asteraceae,Sonchus,asper,,SOAS,spiny sowthistle,,a,H,n
Asteraceae,Stephanomeria,minor,var. minor,STMIM,narrowleaf wirelettuce,,p,ss/H,y
Asteraceae,Stephanomeria,pauciflora,,STPA4,brownplume wirelettuce,C3,p,ss/H,y
Asteraceae,Symphyotrichum,divaricatum,,SYDI2,southern annual saltmarsh aster,C3,ab,H,y
Asteraceae,Symphyotrichum,falcatum,var. commutatum,SYFAC,white prairie aster,C3,p,H,y
Asteraceae,Symphyotrichum,lanceolatum,subsp. hesperium var. hesperium,SYLAH6,white panicle aster,C3,p,H,y
Asteraceae,Symphyotrichum,praealtum,var. praealtum,SYPRP,willowleaf aster,,p,H,y
Asteraceae,Tetraneuris,argentea,,TEAR4,perkysue,,p,H,y
Asteraceae,Thelesperma,longipes,,THLO,longstalk greenthread,,p,ss/H,y
Asteraceae,Thelesperma,megapotamicum,,THME,Hopi tea greenthread,,p,H,y
Asteraceae,Thymophylla,acerosa,,THAC,pricklyleaf dogweed,C3,p,ss/H,y
Asteraceae,Thymophylla,pentachaeta,var. belenidium,THPEB,fiveneedle pricklyleaf,,p,ss/H,y
Asteraceae,Townsendia,annua,,TOAN,annual Townsend daisy,,a,H,y
Asteraceae,Townsendia,eximia,,TOEX,tall Townsend daisy,,p,H,y
Asteraceae,Townsendia,exscapa,,TOEX2,stemless Townsend daisy,,p,H,y
Asteraceae,Tragopogon,dubius,,TRDU,yellow salsify,C3,ab,H,n
Asteraceae,Verbesina,encelioides,subsp. encelioides,VEENE3,golden crownbeard,C3,a,H,y
Asteraceae,Verbesina,encelioides,subsp. exauriculata,VEENE2,golden crownbeard,C3,a,H,y
Asteraceae,Verbesina,encelioides,,VEEN,golden crownbeard,C3,a,H,y
Asteraceae,Viguiera,dentata,,VIDE3,toothleaf goldeneye,,p,ss/H,y
Asteraceae,Xanthium,spinosum,,XASP2,spiny cocklebur,C3,a,H,n
Asteraceae,Xanthium,strumarium,var. canadense,XASTC,Canada cocklebur,C3,a,H,y
Asteraceae,Xanthium,strumarium,var. glabratum,XASTG,rough cocklebur,C3,a,H,y
Asteraceae,Xanthium,strumarium,,XAST,rough cocklebur,C3,a,H,y
Asteraceae,Zinnia,grandiflora,,ZIGR,Rocky Mountain zinnia,C3,p,S/ss/H,y
Berberidaceae,Mahonia,haematocarpa,,MAHA4,red barberry,,p,S,y
Berberidaceae,Mahonia,repens,,MARE11,creeping barberry,,p,S/ss,y
Bignoniaceae,Chilopsis,linearis,subsp. arcuata,CHLIA,desert willow,C3,p,T/S,y
Bignoniaceae,Chilopsis,linearis,,CHLI2,desert willow,C3,p,T/S,y
Boraginaceae,Cryptantha,cinerea,var. cinerea,CRCIC,James' cryptantha,C3,p,ss/H,y
Boraginaceae,Cryptantha,cinerea,var. jamesii,CRCIJ,James' cryptantha,C3,p,ss/H,y
Boraginaceae,Cryptantha,cinerea,var. laxa,CRCIL,James' cryptantha,C3,p,ss/H,y
Boraginaceae,Cryptantha,cinerea,,CRCI3,James' cryptantha,C3,p,ss/H,y
Boraginaceae,Cryptantha,crassisepala,var. elachantha,CRCRE,thicksepal cryptantha,C3,a,H,y
Boraginaceae,Cryptantha,crassisepala,,CRCR3,thicksepal cryptantha,C3,a,H,y
Boraginaceae,Cryptantha,fulvocanescens,,CRFU,tawny cryptantha,C3,p,ss/H,y
Boraginaceae,Cryptantha,oblata,,CROB,rough cryptantha,C3,p,ss/H,y
Boraginaceae,Cryptantha,paysonii,,CRPA8,Payson's cryptantha,C3,p,ss/H,y
Boraginaceae,Cynoglossum,officinale,,CYOF,gypsyflower,,b,H,n
Boraginaceae,Hackelia,pinetorum,,HAPI2,Livermore stickseed,,bp,H,y
Boraginaceae,Heliotropium,convolvulaceum,,HECO5,phlox heliotrope,,a,H,y
Boraginaceae,Heliotropium,curassavicum,var. curassavicum,HECUC2,salt heliotrope,,ap,ss/H,y
Boraginaceae,Heliotropium,curassavicum,,HECU3,salt heliotrope,,ap,ss/H,y
Boraginaceae,Lappula,occidentalis,var. cupulata,LAOCC,flatspine stickseed,C3,ab,H,y
Boraginaceae,Lappula,occidentalis,var. occidentalis,LAOCO,flatspine stickseed,C3,ab,H,y
Boraginaceae,Lappula,occidentalis,,LAOC3,flatspine stickseed,C3,ap,H,y
Boraginaceae,Lithospermum,cobrense,,LICO7,smooththroat stoneseed,C3,p,H,y
Boraginaceae,Lithospermum,incisum,,LIIN2,narrowleaf stoneseed,C3,p,H,y
Boraginaceae,Lithospermum,multiflorum,,LIMU3,manyflowered stoneseed,C3,p,H,y
Boraginaceae,Tiquilia,canescens,var. canescens,TICAC,woody crinklemat,,p,ss ,y
Boraginaceae,Tiquilia,canescens,,TICA3,woody crinklemat,,p,ss,y
Boraginaceae,Tiquilia,hispidissima,,TIHI,hairy crinklemat,,p,ss,y
Brassicaceae,Arabis,drummondii,,ARDR,Dummond's rockcress,,bp,H,y
Brassicaceae,Arabis,fendleri, var. fendleri,ARFEF,Fendler's rockcress,C3,p,ss/H,y
Brassicaceae,Arabis,perennans,,ARPE2,perennial rockcress,,p,ss/H,y
Brassicaceae,Descurainia,obtusa,,DEOB,blunt tansymustard,,ap,H,y
Brassicaceae,Descurainia,pinnata,var. halictorum,DEPIH,western tansymustard,C3,abp,H,y
Brassicaceae,Descurainia,pinnata,,DEPI,western tansymustard,C3,abp,H,y
Brassicaceae,Descurainia,sophia,,DESO2,herb sophia,,ab,H,n
Brassicaceae,Dimorphocarpa,wislizeni,,DIWI2,touristplant,C3,a,H,y
Brassicaceae,Draba,cuneifolia,var. cuneifolia,DRCUC,wedgeleaf draba,C3,a,H,y
Brassicaceae,Erysimum,asperum,,ERAS2,western wallflower,,bp,H,y
Brassicaceae,Erysimum,capitatum,,ERCA14,sanddune wallflower,,bp,H,y
Brassicaceae,Erysimum,inconspicuum,,ERIN7,shy wallflower,,bp,H,y
Brassicaceae,Lepidium,alyssoides,var. angustifolium,LEALA4,mesa pepperweed,C3,bp,H,y
Brassicaceae,Lepidium,alyssoides,,LEAL4,mesa pepperweed,C3,bp,ss/H,y
Brassicaceae,Lepidium,densiflorum,,LEDE,common pepperweed,C3,ab,H,y
Brassicaceae,Lepidium,lasiocarpum,,LELA,shaggyfruit pepperweed,C3,ab,H,y
Brassicaceae,Lepidium,montanum,,LEMO2,mountain pepperweed,C3,bp,ss/H,y
Brassicaceae,Lepidium,virginicum,var. medium,LEVIM,intermediate pepperweed,C3,abp,H,y
Brassicaceae,Lesquerella,fendleri,,LEFE,Fendler's bladderpod,C3,p,H,y
Brassicaceae,Lesquerella,gordonii,,LEGO,Gordon's bladderpod,C3,abp,H,y
Brassicaceae,Lesquerella,pinetorum,,LEPI3,White Mountain bladderpod,,p,H,Y
Brassicaceae,Nerisyrenia,camporum,,NECA3,bicolor fanmustard,,p,ss/H,y
Brassicaceae,Nerisyrenia,linearifolia,,NELI,White Sands fanmustard,,p,ss/H,y
Brassicaceae,Raphanus,raphanistrum,,RARA2,wild radish,,ab,H,n
Brassicaceae,Rorippa,islandica,,ROIS2,northern marsh yellowcress,,ab,H,n
Brassicaceae,Rorippa,palustris,,ROPA2,bog yellowcress,,abp,H,y
Brassicaceae,Schoenocrambe,linearifolia,,SCLI12,slimleaf plainsmustard,,p,ss/H,y
Brassicaceae,Schoenocrambe,linifolia,,SCLI,flaxleaf plainsmustard,,p,H,y
Brassicaceae,Sisymbrium,altissimum,,SIAL2,,,ab,H,n
Brassicaceae,Sisymbrium,irio,,SIIR,London rocket,,a,H,n
Brassicaceae,Streptanthus,carinatus,subsp. carinatus,STCAC,lyreleaf jewelflower,,ab,H,y
