year,month,day,run,leg,mileage,#scat,comments
1992,1,24,1,A,1.4,1,na
1992,1,24,1,A,1.7,1,na
1992,1,24,1,A,3,1,na
1992,1,24,1,A,3.2,1,na
1992,1,24,1,A,3.3,1,na
1992,1,24,1,A,3.6,2,na
1992,1,24,1,A,3.7,1,na
1992,1,24,1,A,3.7,3,na
1992,1,24,1,A,4,2,na
1992,1,24,1,A,4.5,1,na
1992,1,24,1,A,4.6,2,na
1992,1,24,1,A,4.7,3,na
1992,1,24,1,A,4.9,1,na
1992,1,24,1,A,5.1,3,na
1992,1,24,1,A,5.2,1,na
1992,1,24,1,A,5.3,3,na
1992,1,24,1,A,5.5,4,na
1992,1,24,1,A,5.6,3,na
1992,1,24,1,A,5.7,4,na
1992,1,24,1,B,6,3,na
1992,1,24,1,B,6.1,1,na
1992,1,24,1,B,6.4,3,na
1992,1,24,1,B,6.6,1,na
1992,1,24,1,B,6.7,1,na
1992,1,24,1,B,6.8,1,na
1992,1,24,1,B,6.9,2,na
1992,1,24,1,B,7,1,na
1992,1,24,1,B,7.1,1,na
1992,1,24,1,B,7.4,1,na
1992,1,24,1,B,7.7,1,na
1992,1,24,1,B,7.8,1,na
1992,1,24,1,B,7.9,1,na
1992,1,24,1,B,8.1,1,na
1992,1,24,1,B,8.2,3,na
1992,1,24,1,B,8.5,1,na
1992,1,24,1,B,8.8,2,na
1992,1,24,1,B,9.1,1,na
1992,1,24,1,B,9.2,1,na
1992,1,24,1,B,9.9,2,na
1992,1,24,1,C,10.2,1,na
1992,1,24,1,C,10.7,1,na
1992,1,24,1,C,11.2,1,na
1992,1,24,1,C,11.3,1,na
1992,1,24,1,C,11.7,3,na
1992,1,24,1,C,13,1,na
1992,1,24,1,C,13.7,1,na
1992,1,24,1,C,13.9,1,na
1992,1,24,1,C,14.2,1,na
1992,1,24,1,C,15.2,1,na
1992,1,24,1,D,16.7,1,na
1992,1,24,1,D,16.8,2,na
1992,1,24,1,D,17,2,na
1992,1,24,1,D,18.4,2,na
1992,1,24,1,D,18.7,1,na
1992,1,24,1,D,18.9,2,na
1992,1,24,1,D,19.1,1,na
1992,1,24,1,D,20.3,1,na
1992,1,24,1,D,20.4,1,na
1992,1,24,1,D,20.5,1,na
1992,1,24,1,D,20.6,1,na
1992,1,24,1,D,20.7,1,na
1992,1,24,1,D,20.9,1,na
1992,1,24,1,D,21.1,1,na
1992,1,24,1,D,21.2,1,na
1992,1,24,1,D,21.3,1,na
1992,1,24,1,D,21.5,2,na
1992,1,31,2,A,1.5,2,na
1992,1,31,2,A,2.7,1,na
1992,1,31,2,A,3.2,1,na
1992,1,31,2,A,3.5,1,na
1992,1,31,2,A,4.6,1,na
1992,1,31,2,A,4.7,1,na
1992,1,31,2,A,5.1,1,na
1992,1,31,2,A,5.5,1,na
1992,1,31,2,B,6.9,1,na
1992,1,31,2,B,7,1,na
1992,1,31,2,B,7.8,1,na
1992,1,31,2,B,8.1,2,na
1992,1,31,2,C,10.1,1,na
1992,1,31,2,C,13,1,na
1992,1,31,2,C,13.6,1,na
1992,1,31,2,C,14.1,1,na
1992,1,31,2,C,14.4,1,na
1992,1,31,2,C,15.7,1,na
1992,1,31,2,D,17,1,na
1992,1,31,2,D,17.3,1,na
1992,1,31,2,D,17.4,2,na
1992,1,31,2,D,17.7,1,na
1992,1,31,2,D,17.8,4,na
1992,1,31,2,D,17.9,1,na
1992,1,31,2,D,18.2,1,na
1992,1,31,2,D,18.5,1,na
1992,1,31,2,D,18.8,2,na
1992,1,31,2,D,20,1,na
1992,1,31,2,D,20.1,1,na
1992,1,31,2,D,20.4,1,na
1992,1,31,2,D,21.2,1,na
1992,1,31,2,D,21.4,1,na
1992,4,23,1,A,1.2,2,na
1992,4,23,1,A,1.3,2,na
1992,4,23,1,A,2.2,1,na
1992,4,23,1,A,3,1,na
1992,4,23,1,A,3.4,1,na
1992,4,23,1,A,3.5,1,na
1992,4,23,1,A,3.6,1,na
1992,4,23,1,A,4,1,na
1992,4,23,1,A,4.8,2,na
1992,4,23,1,B,6.3,1,na
1992,4,23,1,B,6.5,1,na
1992,4,23,1,B,6.8,1,na
1992,4,23,1,B,7.4,1,na
1992,4,23,1,B,7.5,3,na
1992,4,23,1,B,7.6,1,na
1992,4,23,1,B,7.7,1,na
1992,4,23,1,B,7.8,2,na
1992,4,23,1,B,8.2,2,na
1992,4,23,1,B,8.7,1,na
1992,4,23,1,B,8.8,3,na
1992,4,23,1,B,9.7,1,na
1992,4,23,1,B,9.8,2,na
1992,4,23,1,C,10,1,na
1992,4,23,1,C,10.1,1,na
1992,4,23,1,C,10.2,1,na
1992,4,23,1,C,10.6,3,na
1992,4,23,1,C,12.4,1,na
1992,4,23,1,C,12.8,1,na
1992,4,23,1,C,14.1,1,na
1992,4,23,1,C,14.4,1,na
1992,4,23,1,C,14.7,1,na
1992,4,23,1,D,16.1,1,na
1992,4,23,1,D,17.2,3,na
1992,4,23,1,D,17.4,1,na
1992,4,23,1,D,17.7,1,na
1992,4,23,1,D,18.2,1,na
1992,4,23,1,D,18.6,2,na
1992,4,23,1,D,18.7,1,na
1992,4,23,1,D,18.9,3,na
1992,4,23,1,D,19.4,1,na
1992,4,23,1,D,19.6,1,na
1992,4,23,1,D,20,1,na
1992,4,30,2,A,0.8,1,na
1992,4,30,2,A,0.9,1,na
1992,4,30,2,A,1.4,1,na
1992,4,30,2,A,1.5,1,na
1992,4,30,2,A,2.7,1,na
1992,4,30,2,A,2.9,1,na
1992,4,30,2,A,3.1,1,na
1992,4,30,2,A,3.3,1,na
1992,4,30,2,A,4.6,1,na
1992,4,30,2,B,5.9,1,na
1992,4,30,2,B,6.9,1,na
1992,4,30,2,B,8.5,1,na
1992,4,30,2,B,8.6,1,na
1992,4,30,2,B,8.7,1,na
1992,4,30,2,B,8.8,1,na
1992,4,30,2,B,9.1,2,na
1992,4,30,2,B,9.2,1,na
1992,4,30,2,B,9.4,2,na
1992,4,30,2,C,10.2,1,na
1992,4,30,2,C,11.8,1,na
1992,4,30,2,C,12.1,1,na
1992,4,30,2,C,12.7,2,na
1992,4,30,2,C,13.5,1,na
1992,4,30,2,C,14.4,1,na
1992,4,30,2,C,16.1,2,na
1992,4,30,2,D,17.6,1,na
1992,4,30,2,D,18,1,na
1992,4,30,2,D,18.2,1,na
1992,4,30,2,D,18.9,1,na
1992,7,23,1,A,1.3,1,na
1992,7,23,1,A,3.6,1,na
1992,7,23,1,A,5.4,1,na
1992,7,23,1,B,6.7,1,na
1992,7,23,1,B,6.9,1,na
1992,7,23,1,B,7.1,1,na
1992,7,23,1,B,7.6,2,na
1992,7,23,1,B,7.7,1,na
1992,7,23,1,B,8.8,1,na
1992,7,23,1,B,9.5,1,na
1992,7,23,1,C,10.3,1,na
1992,7,23,1,C,10.4,1,na
1992,7,23,1,C,12.7,1,na
1992,7,23,1,D,16.5,1,na
1992,7,23,1,D,16.8,1,na
1992,7,23,1,D,17,1,na
1992,7,23,1,D,17.5,1,na
1992,7,23,1,D,17.6,1,na
1992,7,23,1,D,19,3,na
1992,7,23,1,D,19.1,1,na
1992,7,23,1,D,19.2,1,na
1992,7,23,1,D,19.6,1,na
1992,7,23,1,D,19.7,2,na
1992,7,23,1,D,20,1,na
1992,7,23,1,D,20.7,1,na
1992,8,6,2,A,1.3,1,"NOTE:__Heavy_rains_occurred_during_the_week_of_7/23/92_after_the_""road_clearing""_Run_1.__These_rains_washed_off_many_scats.__Therefore,_a_second_road_clearing_Run_1_was_conducted_on_7/30/92.__The_following_is_Run_2_taken_on_August_6,_1992,_one_week_after_the_second_Run_1."
1992,8,6,2,A,1.9,1,na
1992,8,6,2,A,2.3,1,na
1992,8,6,2,A,2.9,1,na
1992,8,6,2,A,3.9,1,na
1992,8,6,2,A,4.2,1,na
1992,8,6,2,A,4.4,1,na
1992,8,6,2,B,5.8,1,na
1992,8,6,2,B,6.3,3,na
1992,8,6,2,B,7.5,1,na
1992,8,6,2,B,8.2,1,na
1992,8,6,2,B,8.3,1,na
1992,8,6,2,B,8.7,1,na
1992,8,6,2,B,9.4,1,na
1992,8,6,2,B,9.6,1,na
1992,8,6,2,C,9.9,1,na
1992,8,6,2,C,14.9,1,na
1992,8,6,2,C,15,1,na
1992,8,6,2,D,16.1,1,na
1992,8,6,2,D,18.3,1,na
1992,8,6,2,D,20.6,1,na
1992,8,6,2,D,21.6,1,na
1992,10,27,1,A,0.2,1,na
1992,10,27,1,A,1.5,1,na
1992,10,27,1,A,2,1,na
1992,10,27,1,A,2.1,1,na
1992,10,27,1,A,2.7,1,na
1992,10,27,1,A,3.7,1,na
1992,10,27,1,A,4,1,na
1992,10,27,1,A,4.2,1,na
1992,10,27,1,A,4.4,1,na
1992,10,27,1,A,4.6,1,na
1992,10,27,1,A,4.8,1,na
1992,10,27,1,A,5.1,1,na
1992,10,27,1,A,5.2,1,na
1992,10,27,1,A,5.3,1,na
1992,10,27,1,A,5.6,1,na
1992,10,27,1,A,5.8,2,na
1992,10,27,1,B,5.9,1,na
1992,10,27,1,B,6,1,na
1992,10,27,1,B,6.9,1,na
1992,10,27,1,B,7.3,1,na
1992,10,27,1,B,7.5,1,na
1992,10,27,1,B,8,1,na
1992,10,27,1,B,8.1,1,na
1992,10,27,1,B,8.2,1,na
1992,10,27,1,B,8.9,2,na
1992,10,27,1,B,9.1,2,na
1992,10,27,1,B,9.2,1,na
1992,10,27,1,B,9.2,3,na
1992,10,27,1,B,9.4,2,na
1992,10,27,1,B,9.5,1,na
1992,10,27,1,B,9.6,2,na
1992,10,27,1,B,9.7,7,na
1992,10,27,1,B,9.9,2,na
1992,10,27,1,C,10,3,na
1992,10,27,1,C,10.2,4,na
1992,10,27,1,C,10.4,1,na
1992,10,27,1,C,10.6,1,na
1992,10,27,1,C,10.7,6,na
1992,10,27,1,C,10.8,2,na
1992,10,27,1,C,10.9,1,na
1992,10,27,1,C,11.2,3,na
1992,10,27,1,C,11.3,3,na
1992,10,27,1,C,11.4,1,na
1992,10,27,1,C,11.5,1,na
1992,10,27,1,C,11.8,2,na
1992,10,27,1,C,11.9,2,na
1992,10,27,1,C,12.4,1,na
1992,10,27,1,C,13,2,na
1992,10,27,1,C,13.2,1,na
1992,10,27,1,C,13.4,2,na
1992,10,27,1,C,14.4,1,na
1992,10,27,1,C,14.7,1,na
1992,10,27,1,C,15,2,na
1992,10,27,1,D,16.6,1,na
1992,10,27,1,D,16.8,1,na
1992,10,27,1,D,17.1,2,na
1992,10,27,1,D,18,1,na
1992,10,27,1,D,18.4,1,na
1992,10,27,1,D,19.8,1,na
1992,10,27,1,D,20,1,na
1992,10,27,1,D,20.2,2,na
1992,10,27,1,D,20.2,1,na
1992,10,27,1,D,21.5,1,na
1992,11,3,2,A,0.5,1,na
1992,11,3,2,A,0.9,1,na
1992,11,3,2,A,3.7,3,na
1992,11,3,2,A,4,1,na
1992,11,3,2,A,4.1,2,na
1992,11,3,2,A,4.8,1,na
1992,11,3,2,A,4.9,1,na
1992,11,3,2,A,5.1,1,na
1992,11,3,2,A,5.3,1,na
1992,11,3,2,A,5.8,1,na
1992,11,3,2,B,6.1,1,na
1992,11,3,2,B,6.6,1,na
1992,11,3,2,B,6.7,1,na
1992,11,3,2,B,7,2,na
1992,11,3,2,B,7.1,1,na
1992,11,3,2,B,7.4,2,na
1992,11,3,2,B,7.5,4,na
1992,11,3,2,B,7.6,1,na
1992,11,3,2,B,7.7,1,na
1992,11,3,2,B,7.9,1,na
1992,11,3,2,B,8.2,1,na
1992,11,3,2,B,8.6,1,na
1992,11,3,2,B,8.9,2,na
1992,11,3,2,B,9.4,1,na
1992,11,3,2,B,9.8,2,na
1992,11,3,2,C,10,1,na
1992,11,3,2,C,10.3,1,na
1992,11,3,2,C,10.6,2,na
1992,11,3,2,C,10.7,1,na
1992,11,3,2,C,10.9,1,na
1992,11,3,2,C,11.1,1,na
1992,11,3,2,C,11.2,1,na
1992,11,3,2,C,11.6,1,na
1992,11,3,2,C,11.9,1,na
1992,11,3,2,C,12.3,1,na
1992,11,3,2,C,12.8,1,na
1992,11,3,2,C,13.6,1,na
1992,11,3,2,C,13.7,2,na
1992,11,3,2,C,13.9,1,na
1992,11,3,2,C,14,1,na
1992,11,3,2,C,14.3,1,na
1992,11,3,2,C,15.4,1,na
1992,11,3,2,D,16.2,1,na
1992,11,3,2,D,16.3,1,na
1992,11,3,2,D,16.4,1,na
1992,11,3,2,D,16.5,1,na
1992,11,3,2,D,16.7,4,na
1992,11,3,2,D,16.8,1,na
1992,11,3,2,D,16.9,1,na
1992,11,3,2,D,17,2,na
1992,11,3,2,D,17.3,1,na
1992,11,3,2,D,17.5,2,na
1992,11,3,2,D,17.6,1,na
1992,11,3,2,D,17.7,2,na
1992,11,3,2,D,17.8,1,na
1992,11,3,2,D,18.4,1,na
1992,11,3,2,D,18.6,1,na
1992,11,3,2,D,18.9,1,na
1993,1,13,1,A,0.2,1,na
1993,1,13,1,A,0.9,1,na
1993,1,13,1,A,1,2,na
1993,1,13,1,A,1.1,2,na
1993,1,13,1,A,1.2,1,na
1993,1,13,1,A,1.3,1,na
1993,1,13,1,A,1.4,2,na
1993,1,13,1,A,1.8,2,na
1993,1,13,1,A,1.9,3,na
1993,1,13,1,A,2,1,na
1993,1,13,1,A,2.5,1,na
1993,1,13,1,A,2.8,1,na
1993,1,13,1,A,2.9,2,na
1993,1,13,1,A,3.2,3,na
1993,1,13,1,A,3.3,2,na
1993,1,13,1,A,3.5,1,na
1993,1,13,1,A,3.6,5,na
1993,1,13,1,A,3.7,2,na
1993,1,13,1,A,3.8,2,na
1993,1,13,1,A,4,1,na
1993,1,13,1,A,4.4,2,na
1993,1,13,1,A,4.5,1,na
1993,1,13,1,A,4.8,3,na
1993,1,13,1,A,4.9,2,na
1993,1,13,1,A,5,1,na
1993,1,13,1,A,5.1,5,na
1993,1,13,1,A,5.2,2,na
1993,1,13,1,A,5.3,4,na
1993,1,13,1,A,5.4,1,na
1993,1,13,1,A,5.5,7,na
1993,1,13,1,A,5.7,2,na
1993,1,13,1,B,5.9,2,na
1993,1,13,1,B,6,3,na
1993,1,13,1,B,6.3,3,na
1993,1,13,1,B,6.5,1,na
1993,1,13,1,B,6.7,4,na
1993,1,13,1,B,6.8,3,na
1993,1,13,1,B,6.9,1,na
1993,1,13,1,B,7,8,na
1993,1,13,1,B,7.1,1,na
1993,1,13,1,B,7.2,2,na
1993,1,13,1,B,7.3,2,na
1993,1,13,1,B,7.4,2,na
1993,1,13,1,B,7.5,2,na
1993,1,13,1,B,7.6,5,na
1993,1,13,1,B,7.7,7,na
1993,1,13,1,B,7.8,9,na
1993,1,13,1,B,7.9,5,na
1993,1,13,1,B,8,6,na
1993,1,13,1,B,8.1,7,na
1993,1,13,1,B,8.2,1,na
1993,1,13,1,B,8.3,9,na
1993,1,13,1,B,8.4,4,na
1993,1,13,1,B,8.5,3,na
1993,1,13,1,B,8.6,2,na
1993,1,13,1,B,8.7,3,na
1993,1,13,1,B,8.8,1,na
1993,1,13,1,B,8.9,3,na
1993,1,13,1,B,9,5,na
1993,1,13,1,B,9.1,2,na
1993,1,13,1,B,9.2,1,na
1993,1,13,1,B,9.3,4,na
1993,1,13,1,B,9.4,7,na
1993,1,13,1,B,9.5,2,na
1993,1,13,1,B,9.6,2,na
1993,1,13,1,B,9.7,1,na
1993,1,13,1,B,9.8,2,na
1993,1,13,1,C,10.1,1,na
1993,1,13,1,C,10.3,2,na
1993,1,13,1,C,10.6,6,na
1993,1,13,1,C,10.7,3,na
1993,1,13,1,C,10.8,2,na
1993,1,13,1,C,11,6,na
1993,1,13,1,C,11.1,3,na
1993,1,13,1,C,11.2,8,na
1993,1,13,1,C,11.3,3,na
1993,1,13,1,C,11.4,4,na
1993,1,13,1,C,11.5,4,na
1993,1,13,1,C,11.6,2,na
1993,1,13,1,C,11.7,6,na
1993,1,13,1,C,11.8,4,na
1993,1,13,1,C,11.9,7,na
1993,1,13,1,C,12,2,na
1993,1,13,1,C,12.1,6,na
1993,1,13,1,C,12.2,8,na
1993,1,13,1,C,12.3,3,na
1993,1,13,1,C,12.4,1,na
1993,1,13,1,C,12.6,1,na
1993,1,13,1,C,12.7,11,na
1993,1,13,1,C,12.8,4,na
1993,1,13,1,C,13,9,na
1993,1,13,1,C,13.1,3,na
1993,1,13,1,C,13.2,4,na
1993,1,13,1,C,13.3,5,na
1993,1,13,1,C,13.4,1,na
1993,1,13,1,C,13.5,3,na
1993,1,13,1,C,13.6,2,na
1993,1,13,1,C,13.7,2,na
1993,1,13,1,C,13.8,4,na
1993,1,13,1,C,13.9,1,na
1993,1,13,1,C,14,1,na
1993,1,13,1,C,14.2,3,na
1993,1,13,1,C,14.3,1,na
1993,1,13,1,C,14.4,1,na
1993,1,13,1,C,14.5,2,na
1993,1,13,1,C,14.6,2,na
1993,1,13,1,C,14.9,3,na
1993,1,13,1,C,15.2,1,na
1993,1,13,1,C,15.4,3,na
1993,1,13,1,C,15.5,3,na
1993,1,13,1,C,15.6,2,na
1993,1,13,1,C,15.8,1,na
1993,1,13,1,C,15.9,1,na
1993,1,13,1,C,16.1,1,na
1993,1,13,1,D,16.5,1,na
1993,1,13,1,D,16.6,1,na
1993,1,13,1,D,16.7,2,na
1993,1,13,1,D,16.8,1,na
1993,1,13,1,D,16.9,2,na
1993,1,13,1,D,17,2,na
1993,1,13,1,D,17.1,2,na
1993,1,13,1,D,17.3,1,na
1993,1,13,1,D,17.5,2,na
1993,1,13,1,D,17.7,1,na
1993,1,13,1,D,17.9,1,na
1993,1,13,1,D,18,1,na
1993,1,13,1,D,18.2,4,na
1993,1,13,1,D,18.8,4,na
1993,1,13,1,D,19,4,na
1993,1,13,1,D,19.1,2,na
1993,1,13,1,D,19.2,1,na
1993,1,13,1,D,19.3,1,na
1993,1,13,1,D,19.7,3,na
1993,1,13,1,D,19.9,1,na
1993,1,13,1,D,20,1,na
1993,1,13,1,D,20.1,1,na
1993,1,13,1,D,20.2,1,na
1993,1,13,1,D,20.3,1,na
1993,1,13,1,D,20.4,1,na
1993,1,13,1,D,20.7,1,na
1993,1,13,1,D,20.9,1,na
1993,1,13,1,D,21,1,na
1993,1,13,1,D,21.3,1,na
1993,1,20,2,A,2,1,na
1993,1,20,2,A,2.6,1,na
1993,1,20,2,A,3.6,1,na
1993,1,20,2,A,5,1,na
1993,1,20,2,A,5.3,1,na
1993,1,20,2,A,5.4,1,na
1993,1,20,2,A,5.7,1,na
1993,1,20,2,B,6.3,1,na
1993,1,20,2,B,6.7,1,na
1993,1,20,2,B,7,1,na
1993,1,20,2,B,7.2,1,na
1993,1,20,2,B,7.3,1,na
1993,1,20,2,B,7.5,1,na
1993,1,20,2,B,8.3,1,na
1993,1,20,2,B,8.4,1,na
1993,1,20,2,B,8.7,1,na
1993,1,20,2,B,9.1,1,na
1993,1,20,2,C,10.1,1,na
1993,1,20,2,C,10.5,1,na
1993,1,20,2,C,10.7,1,na
1993,1,20,2,C,11.3,2,na
1993,1,20,2,C,11.5,1,na
1993,1,20,2,C,11.6,1,na
1993,1,20,2,C,11.7,2,na
1993,1,20,2,C,12.2,2,na
1993,1,20,2,C,12.6,1,na
1993,1,20,2,C,13.8,1,na
1993,1,20,2,C,14,1,na
1993,1,20,2,C,14.2,1,na
1993,1,20,2,D,16.2,1,na
1993,1,20,2,D,16.3,1,na
1993,1,20,2,D,16.5,1,na
1993,1,20,2,D,16.7,2,na
1993,1,20,2,D,16.8,1,na
1993,1,20,2,D,17.5,1,na
1993,1,20,2,D,18,3,na
1993,1,20,2,D,18.1,2,na
1993,1,20,2,D,18.2,1,na
1993,1,20,2,D,19.8,1,na
1993,4,21,1,A,0.8,2,na
1993,4,21,1,A,1.9,1,na
1993,4,21,1,A,2.1,1,na
1993,4,21,1,A,2.2,1,na
1993,4,21,1,A,2.8,1,na
1993,4,21,1,A,3.2,3,na
1993,4,21,1,A,3.3,1,na
1993,4,21,1,A,3.5,2,na
1993,4,21,1,A,4.2,3,na
1993,4,21,1,B,6.7,4,na
1993,4,21,1,B,7.2,1,na
1993,4,21,1,B,7.5,2,na
1993,4,21,1,B,7.6,1,na
1993,4,21,1,B,7.7,1,na
1993,4,21,1,B,8.2,2,na
1993,4,21,1,B,8.5,2,na
1993,4,21,1,B,8.7,2,na
1993,4,21,1,B,9.5,4,na
1993,4,21,1,C,9.9,1,na
1993,4,21,1,C,10.1,1,na
1993,4,21,1,C,10.2,1,na
1993,4,21,1,C,10.3,1,na
1993,4,21,1,C,10.5,1,na
1993,4,21,1,C,10.6,6,na
1993,4,21,1,C,10.8,1,na
1993,4,21,1,C,10.9,2,na
1993,4,21,1,C,11.2,3,na
1993,4,21,1,C,11.6,2,na
1993,4,21,1,C,11.7,1,na
1993,4,21,1,C,12.1,2,na
1993,4,21,1,C,12.2,2,na
1993,4,21,1,C,12.5,2,na
1993,4,21,1,C,12.6,7,na
1993,4,21,1,C,12.8,1,na
1993,4,21,1,C,12.9,1,na
1993,4,21,1,C,13,2,na
1993,4,21,1,C,13.2,1,na
1993,4,21,1,C,13.7,1,na
1993,4,21,1,C,13.8,1,na
1993,4,21,1,C,13.9,1,na
1993,4,21,1,C,14.3,1,na
1993,4,21,1,C,14.8,2,na
1993,4,21,1,C,15.2,3,na
1993,4,21,1,C,15.3,2,na
1993,4,21,1,C,15.5,1,na
1993,4,21,1,C,15.6,1,na
1993,4,21,1,C,15.8,1,na
1993,4,21,1,D,16.7,1,na
1993,4,21,1,D,17.8,1,na
1993,4,21,1,D,18.3,1,na
1993,4,21,1,D,18.4,1,na
1993,4,21,1,D,18.7,4,na
1993,4,21,1,D,19,1,na
1993,4,21,1,D,19.1,2,na
1993,4,21,1,D,19.4,1,na
1993,4,21,1,D,19.7,2,na
1993,4,21,1,D,19.8,1,na
1993,4,21,1,D,20.2,1,na
1993,4,28,2,A,2.8,1,na
1993,4,28,2,A,5.3,1,na
1993,4,28,2,B,7.1,1,na
1993,4,28,2,B,7.3,1,na
1993,4,28,2,B,7.6,1,na
1993,4,28,2,B,8,1,na
1993,4,28,2,B,8.2,1,na
1993,4,28,2,B,8.6,1,na
1993,4,28,2,B,9.1,1,na
1993,4,28,2,B,9.4,2,na
1993,4,28,2,B,9.6,1,na
1993,4,28,2,B,9.8,1,na
1993,4,28,2,C,10.3,1,na
1993,4,28,2,C,10.6,1,na
1993,4,28,2,C,10.7,1,na
1993,4,28,2,C,11.3,1,na
1993,4,28,2,C,12.2,1,na
1993,4,28,2,C,12.3,1,na
1993,4,28,2,C,12.6,1,na
1993,4,28,2,C,12.7,1,na
1993,4,28,2,C,12.9,1,na
1993,4,28,2,C,13.7,1,na
1993,4,28,2,C,14.4,1,na
1993,4,28,2,C,14.9,1,na
1993,4,28,2,D,17.1,1,na
1993,4,28,2,D,18.8,1,na
1993,4,28,2,D,19.5,1,na
1993,4,28,2,D,20,1,na
1993,4,28,2,D,20.6,1,na
1993,10,20,1,A,0.3,1,"NOTE:__No_sample_was_collected_during_the_summer_of_1993,_due_to_major_road_work_on_McKenzie_Flats.__FWS_road_crews_had_the_road_torn_up_most_of_the_summer,_so_any_scat_collections_on_the_roads_would_have_been_potentially_biased_compared_to_normal_road_conditions."
1993,10,20,1,A,0.6,1,na
1993,10,20,1,A,0.7,1,na
1993,10,20,1,A,1.1,1,na
1993,10,20,1,A,1.3,1,na
1993,10,20,1,A,1.4,1,na
1993,10,20,1,A,1.5,1,na
1993,10,20,1,A,2.5,2,na
1993,10,20,1,A,3.6,1,na
1993,10,20,1,A,4.1,2,na
1993,10,20,1,A,4.5,1,na
1993,10,20,1,A,4.6,1,na
1993,10,20,1,A,5.2,2,na
1993,10,20,1,A,5.3,1,na
1993,10,20,1,A,5.7,2,na
1993,10,20,1,B,7.1,1,na
1993,10,20,1,B,8.5,1,na
1993,10,20,1,B,8.8,1,na
1993,10,20,1,B,10.1,1,na
1993,10,20,1,C,12.1,1,na
1993,10,20,1,C,12.3,1,na
1993,10,20,1,C,12.8,2,na
1993,10,20,1,C,12.9,1,na
1993,10,20,1,C,13,1,na
1993,10,20,1,C,13.3,1,na
1993,10,20,1,C,13.7,1,na
1993,10,20,1,C,14.3,1,na
1993,10,20,1,C,14.6,1,na
1993,10,20,1,C,14.9,1,na
1993,10,20,1,C,16.1,1,na
1993,10,20,1,C,16.4,1,na
1993,10,20,1,C,16.6,2,na
1993,10,20,1,C,16.7,2,na
1993,10,20,1,C,17.2,1,na
1993,10,20,1,C,19.2,1,na
1993,10,20,1,D,19.3,1,na
1993,10,20,1,D,19.4,1,na
1993,10,20,1,D,19.5,1,na
1993,10,20,1,D,20.7,1,na
1993,10,20,1,D,21,1,na
1993,10,20,1,D,21.5,1,na
1993,10,20,1,D,22,1,na
1993,10,20,1,D,23.2,1,na
1993,10,20,1,D,23.6,3,na
1993,10,20,1,D,24.5,3,na
1993,10,20,1,D,25.6,1,na
1993,10,27,2,A,0.4,1,na
1993,10,27,2,A,0.5,1,na
1993,10,27,2,A,2,1,na
1993,10,27,2,A,2.1,1,na
1993,10,27,2,A,2.2,1,na
1993,10,27,2,A,2.4,2,na
1993,10,27,2,A,2.5,1,na
1993,10,27,2,A,3,1,na
1993,10,27,2,A,3.2,1,na
1993,10,27,2,A,3.9,1,na
1993,10,27,2,A,6.3,2,na
1993,10,27,2,B,7,1,na
1993,10,27,2,B,9.9,1,na
1993,10,27,2,B,11.2,1,na
1993,10,27,2,B,11.5,1,na
1993,10,27,2,C,12,1,na
1993,10,27,2,C,12.7,1,na
1993,10,27,2,C,12.8,1,na
1993,10,27,2,C,13.3,1,na
1993,10,27,2,C,14,1,na
1993,10,27,2,C,14.1,2,na
1993,10,27,2,C,14.2,1,na
1993,10,27,2,C,14.4,1,na
1993,10,27,2,C,14.8,1,na
1993,10,27,2,C,15.1,1,na
1993,10,27,2,C,15.5,1,na
1993,10,27,2,C,15.7,1,na
1993,10,27,2,C,15.8,1,na
1993,10,27,2,C,15.9,1,na
1993,10,27,2,C,16,1,na
1993,10,27,2,C,16.1,1,na
1993,10,27,2,C,16.6,1,na
1993,10,27,2,C,16.7,1,na
1993,10,27,2,C,17.5,1,na
1993,10,27,2,C,17.9,1,na
1993,10,27,2,D,19.4,1,na
1993,10,27,2,D,22.7,1,na
1993,10,27,2,D,23.6,1,na
1993,10,27,2,D,23.9,1,na
1993,10,27,2,D,24.3,1,na
1994,1,21,1,A,0.2,1,na
1994,1,21,1,A,0.8,1,na
1994,1,21,1,A,0.9,2,na
1994,1,21,1,A,1.2,1,na
1994,1,21,1,A,1.4,1,na
1994,1,21,1,A,1.7,1,na
1994,1,21,1,A,1.8,1,na
1994,1,21,1,A,2,1,na
1994,1,21,1,A,2.1,1,na
1994,1,21,1,A,2.2,1,na
1994,1,21,1,A,2.3,1,na
1994,1,21,1,A,2.4,1,na
1994,1,21,1,A,2.6,1,na
1994,1,21,1,A,3.7,2,na
1994,1,21,1,A,3.8,1,na
1994,1,21,1,A,4.3,1,na
1994,1,21,1,A,4.6,1,na
1994,1,21,1,A,4.9,1,na
1994,1,21,1,A,5.1,1,na
1994,1,21,1,A,5.5,1,na
1994,1,21,1,A,6.7,2,na
1994,1,21,1,B,7.8,1,na
1994,1,21,1,B,8,1,na
1994,1,21,1,B,8.2,2,na
1994,1,21,1,B,8.3,2,na
1994,1,21,1,B,8.4,2,na
1994,1,21,1,B,8.5,3,na
1994,1,21,1,B,8.8,1,na
1994,1,21,1,B,8.9,1,na
1994,1,21,1,B,9.3,3,na
1994,1,21,1,B,9.4,1,na
1994,1,21,1,B,11.5,6,na
1994,1,21,1,B,11.7,1,na
1994,1,21,1,C,12.8,1,na
1994,1,21,1,C,13.4,1,na
1994,1,21,1,C,13.6,1,na
